SMILES,Activity_type,Activity_value,Activity_unit
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(CO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@H](O)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)C#CC1CC(CC#N)C1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)C#CC1CC(F)C1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
COCC1CC(C1)C#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COCC1CC(C1)C#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COCC(C)(O)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(OCCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@H](O)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COc1ccc(cn1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(CO)nc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(nc1)C(F)(F)F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CCC#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COC[C@H](O)Cc1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COc1ccc(c(F)c1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1cccc(CO)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)S(C)(=N)=O)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
COC(CO)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
CS(=O)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
CC(C)(C#N)c1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
Cc1ccc(cn1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccncc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CC(C)(O)c1ccc(cn1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1cnccc1F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccncc1Cl)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
COc1cc(F)c(c(F)c1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccncc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)-n1nccn1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@H](O)[C@@H](O)Cc1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1cnsc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccsc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(c(C)c1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@H](O)Cc1ccc(c(F)c1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@H](O)Cc1cc(F)c(c(F)c1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
Cc1cc(CO)ccc1-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
COC(CO)Cc1ccc(cc1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
